"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.DeserializationBenchMark.JacksonDeserialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,2377.802792,77.064456,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.JacksonDeserialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.002610,0.000645,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.JacksonDeserialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.002654,0.000693,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.JacksonDeserialize:·gc.count","avgt",10,10,393.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.JacksonDeserialize:·gc.time","avgt",10,10,584.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.KryoDeserialize","avgt",10,10,0.008960,0.000165,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.KryoDeserialize:·gc.alloc.rate","avgt",10,10,5828.801936,108.183424,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.KryoDeserialize:·gc.alloc.rate.norm","avgt",10,10,5616.000230,0.000007,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.KryoDeserialize:·gc.churn.G1_Eden_Space","avgt",10,10,5900.217268,114.071699,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.KryoDeserialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,5684.794459,23.067554,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.KryoDeserialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.012586,0.003082,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.KryoDeserialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.012120,0.002867,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.KryoDeserialize:·gc.count","avgt",10,10,990.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.KryoDeserialize:·gc.time","avgt",10,10,1510.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize","avgt",10,10,0.005521,0.000179,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.alloc.rate","avgt",10,10,3717.282948,93.957328,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.alloc.rate.norm","avgt",10,10,2208.000175,127.491063,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.churn.G1_Eden_Space","avgt",10,10,3743.437055,99.793538,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,2223.526205,129.385560,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.003058,0.000728,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.001820,0.000477,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.count","avgt",10,10,628.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.time","avgt",10,10,918.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize","avgt",10,10,0.004943,0.000071,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.alloc.rate","avgt",10,10,2604.297255,37.495678,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.alloc.rate.norm","avgt",10,10,1384.000127,0.000004,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.churn.G1_Eden_Space","avgt",10,10,2610.851098,55.261681,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,1387.488318,22.424771,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.002504,0.000535,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.001331,0.000282,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
